Time  Up  Ip  Btor  Ur  Up  Ip  Btor  Ur
0  0,0210  -0,5638  -0,2682  -6,0000  0,0420  -0,5951  -0,2980  -8,0000
10,03  0,0420  -1,7539  11,5922  256,0000  0,0420  -1,6913  11,5922  232,0000
10,064  0,0210  -1,7539  11,5922  257,0000  -0,0210  -1,7539  11,6518  233,0000
10,098  0,0000  -1,7852  11,6518  256,0000  0,0420  -1,6913  11,6816  233,0000
10,132  0,0420  -1,7539  11,6816  257,0000  0,0630  -1,6913  11,7114  233,0000
10,166  0,0210  -1,7852  11,7412  256,0000  -0,0630  -1,7226  11,7412  233,0000
10,2  -0,0420  -1,8166  11,7412  256,0000  -0,0210  -1,7539  11,8008  233,0000
10,234  0,0000  -1,7852  11,7710  257,0000  0,0420  -1,6913  11,8306  233,0000
10,268  -0,0210  -1,8166  11,8306  256,0000  0,0210  -1,6913  11,8306  234,0000
10,302  0,0210  -1,7852  11,8604  257,0000  0,0210  -1,7226  11,8902  235,0000
10,336  0,0210  -1,7852  11,8902  256,0000  0,0210  -1,6913  11,9498  234,0000
10,37  0,0000  -1,7852  11,9200  257,0000  0,0000  -1,6913  11,9498  235,0000
10,404  -0,0210  -1,8479  11,9498  257,0000  0,0000  -1,6913  12,0094  234,0000
10,438  0,0000  -1,7539  12,0094  257,0000  0,0210  -1,6913  12,0392  235,0000
10,472  0,0210  -1,7539  12,0392  257,0000  0,0420  -1,6913  12,0690  237,0000
10,506  -0,0420  -1,8166  12,0690  257,0000  0,0000  -1,6913  12,0690  237,0000
10,54  0,0000  -1,7539  12,0988  258,0000  0,0210  -1,6913  12,1286  237,0000
10,574  0,0000  -1,7539  12,1286  258,0000  0,0630  -1,6913  12,1584  237,0000
10,608  -0,7980  -1,7852  12,2180  256,0000  -0,0210  -1,7539  12,1882  237,0000
10,642  -0,4410  -1,8166  12,2180  254,0000  0,0000  -1,6913  12,2180  238,0000
10,676  -0,6090  -1,8166  12,2776  250,0000  -0,0210  -1,7539  12,2776  238,0000
10,71  -0,5880  -1,7852  12,2776  243,0000  0,0000  -1,6913  12,3074  238,0000
10,744  -0,1260  -1,7852  12,3074  237,0000  0,0420  -1,6913  12,3372  240,0000
10,778  -0,3360  -1,7852  12,3670  232,0000  0,0210  -1,6913  12,3968  240,0000
10,812  -0,3570  -1,7852  12,3968  228,0000  0,0210  -1,6913  12,3968  240,0000
10,846  -0,3150  -1,7852  12,4266  225,0000  0,0000  -1,6913  12,4564  240,0000
10,88  -0,2940  -1,7852  12,4564  220,0000  0,0210  -1,6913  12,4564  241,0000
10,914  -0,3150  -1,7539  12,4862  217,0000  0,0000  -1,6913  12,4862  242,0000
10,948  -0,3360  -1,7852  12,5458  213,0000  0,0000  -1,6913  12,5756  242,0000
10,982  -0,3150  -1,7852  12,5756  210,0000  0,0000  -1,6913  12,6054  242,0000
11,016  -0,3150  -1,7852  12,6054  206,0000  0,0210  -1,6913  12,6352  242,0000
11,05  -0,3150  -1,7539  12,6352  202,0000  0,0000  -1,6913  12,6650  243,0000
11,084  -0,3360  -1,7539  12,6650  199,0000  -0,0210  -1,7226  12,6948  243,0000
11,118  -0,2940  -1,7539  12,6948  194,0000  0,0000  -1,6913  12,6948  244,0000
11,152  -0,2730  -1,7539  12,7246  192,0000  0,0000  -1,6600  12,7544  244,0000
11,186  -0,1890  -1,7539  12,7544  187,0000  0,0420  -1,6600  12,7842  245,0000
11,22  -0,2100  -1,7539  12,7842  186,0000  0,0000  -1,6913  12,8140  244,0000
11,254  -0,2310  -1,7539  12,8140  183,0000  -0,0210  -1,7539  12,8736  246,0000
11,288  -0,0840  -1,7539  12,8438  181,0000  -0,0210  -1,7226  12,9034  245,0000
11,322  -0,2100  -1,7539  12,9034  179,0000  0,0000  -1,6913  12,9332  245,0000
11,356  -0,1890  -1,7539  12,9332  176,0000  -0,0210  -1,7226  12,9630  245,0000
11,39  -0,1890  -1,7539  12,9630  172,0000  0,0000  -1,6913  13,0226  246,0000
11,424  -0,1890  -1,7539  13,0226  172,0000  0,0420  -1,6913  13,0226  246,0000
11,458  -0,1470  -1,7539  13,0226  169,0000  0,0210  -1,6913  13,0524  246,0000
11,492  -0,1890  -1,7852  13,0822  167,0000  -0,0420  -1,7226  13,0822  247,0000
11,526  -0,1680  -1,7539  13,1120  164,0000  -0,0210  -1,7226  13,1418  247,0000
11,56  -0,1890  -1,7539  13,1418  162,0000  0,0210  -1,6913  13,1418  247,0000
11,594  -0,1470  -1,7539  13,1716  161,0000  0,0210  -1,6913  13,2014  247,0000
11,628  -0,1890  -1,7226  13,2014  159,0000  0,0000  -1,6600  13,2312  248,0000
11,662  -0,1470  -1,7539  13,2610  157,0000  0,0210  -1,6600  13,2610  247,0000
11,696  -0,1680  -1,7539  13,2610  155,0000  0,0000  -1,6600  13,2610  247,0000
11,73  -0,1890  -1,7539  13,3206  153,0000  0,0000  -1,6913  13,2908  248,0000
11,764  -0,1260  -1,7539  13,3206  152,0000  0,0210  -1,6600  13,3504  247,0000
11,798  -0,1470  -1,7539  13,3802  148,0000  0,0210  -1,6913  13,3802  247,0000
11,832  -0,1470  -1,7539  13,4100  147,0000  0,0210  -1,6913  13,4100  247,0000
11,866  -0,1260  -1,7226  13,4398  145,0000  -0,0210  -1,7226  13,4696  247,0000
11,9  -0,1680  -1,7226  13,4696  143,0000  0,0000  -1,6600  13,4994  247,0000
11,934  -0,1260  -1,7539  13,4994  141,0000  0,0210  -1,6913  13,5292  248,0000
11,968  -0,2100  -1,7226  13,5292  140,0000  0,0210  -1,6913  13,5590  248,0000
12,002  -0,1260  -1,7226  13,5888  138,0000  -0,0210  -1,7226  13,5888  248,0000
12,036  -0,1050  -1,7539  13,5888  137,0000  0,0000  -1,6600  13,6186  248,0000
12,07  -0,1470  -1,7539  13,6484  134,0000  0,0420  -1,6600  13,6484  248,0000
12,104  -0,1050  -1,7226  13,6782  133,0000  0,0000  -1,6600  13,6484  248,0000
12,138  -0,1260  -1,7539  13,7080  132,0000  0,0210  -1,6600  13,7080  249,0000
12,172  -0,1260  -1,7539  13,7378  130,0000  0,0210  -1,6600  13,7676  249,0000
12,206  -0,1050  -1,7226  13,7676  129,0000  0,0210  -1,6600  13,7974  249,0000
12,24  -0,1470  -1,7226  13,7974  127,0000  0,0210  -1,6286  13,7974  249,0000
12,274  -0,1050  -1,7226  13,8570  126,0000  0,0210  -1,6286  13,8570  249,0000
12,308  -0,1260  -1,7539  13,8570  124,0000  0,0210  -1,6913  13,8570  249,0000
12,342  -0,1260  -1,7226  13,9166  123,0000  0,0210  -1,6600  13,8868  250,0000
12,376  -0,1260  -1,7226  13,9464  121,0000  0,0000  -1,6600  13,9464  248,0000
12,41  -0,1260  -1,7226  13,9464  120,0000  0,0420  -1,6600  13,9762  250,0000
12,444  -0,1260  -1,7539  13,9464  118,0000  0,0420  -1,6913  14,0060  249,0000
12,478  -0,1470  -1,7226  14,0060  117,0000  0,0420  -1,6600  14,0358  249,0000
12,512  -0,0840  -1,7226  14,0656  115,0000  -0,0210  -1,7226  14,0656  249,0000
12,546  -0,1260  -1,6913  14,0656  114,0000  0,0000  -1,6600  14,0954  249,0000
12,58  -0,1260  -1,7226  14,1252  113,0000  0,0420  -1,6600  14,1252  249,0000
12,614  -0,1050  -1,7226  14,1550  111,0000  0,0210  -1,6286  14,1550  250,0000
12,648  -0,1470  -1,7226  14,1848  109,0000  0,0000  -1,6600  14,1848  250,0000
12,682  -0,1260  -1,7539  14,1848  108,0000  0,0420  -1,6600  14,2146  250,0000
12,716  -0,0840  -1,7226  14,2444  107,0000  0,0000  -1,6600  14,2444  250,0000
12,75  -0,1050  -1,7226  14,2742  106,0000  0,0420  -1,6286  14,2742  250,0000
12,784  -0,1260  -1,7226  14,3338  106,0000  0,0210  -1,6600  14,3040  251,0000
12,818  -0,1260  -1,6913  14,3338  104,0000  0,0210  -1,6600  14,3636  252,0000
12,852  -0,1050  -1,6913  14,3934  104,0000  0,0210  -1,6600  14,3636  252,0000
12,886  -0,1050  -1,7226  14,3934  102,0000  0,0210  -1,6600  14,4232  252,0000
12,92  -0,1050  -1,7226  14,4232  101,0000  0,0420  -1,6286  14,4232  251,0000
12,954  -0,0840  -1,7226  14,4530  100,0000  0,0420  -1,6913  14,4530  252,0000
12,988  -0,0840  -1,7226  14,4828  99,0000  0,0210  -1,6600  14,5126  252,0000
13,022  -0,0630  -1,7226  14,5126  99,0000  0,0210  -1,6600  14,5126  253,0000
13,056  -0,0840  -1,7226  14,5424  96,0000  0,0210  -1,6286  14,5722  253,0000
13,09  -0,1260  -1,6913  14,5722  95,0000  0,0210  -1,6600  14,6020  253,0000
13,124  -0,0840  -1,6913  14,6020  95,0000  0,0420  -1,6286  14,6020  254,0000
13,158  -0,0630  -1,7226  14,6616  94,0000  0,0420  -1,6286  14,6616  253,0000
13,192  -0,0630  -1,6913  14,6616  93,0000  0,0210  -1,6600  14,6914  254,0000
13,226  -0,0840  -1,6913  14,6914  92,0000  0,0630  -1,6600  14,7212  255,0000
13,26  -0,1050  -1,6913  14,7212  91,0000  0,0210  -1,6286  14,7510  256,0000
13,294  -0,0420  -1,7226  14,7808  91,0000  0,0210  -1,6286  14,7808  255,0000
13,328  -0,1260  -1,6600  14,7808  89,0000  0,0420  -1,6286  14,8106  256,0000
13,362  -0,0630  -1,6913  14,8106  89,0000  0,0420  -1,6286  14,8404  256,0000
13,396  -0,1050  -1,7226  14,8404  88,0000  0,0420  -1,6286  14,8404  256,0000
13,43  -0,0630  -1,6600  14,9000  88,0000  0,0630  -1,6286  14,9000  256,0000
13,464  -0,0630  -1,6913  14,9298  87,0000  0,0420  -1,6286  14,9298  257,0000
13,498  -0,1470  -1,6913  14,9298  86,0000  0,0000  -1,6286  14,9298  257,0000
13,532  -0,0840  -1,6913  14,9894  85,0000  0,0210  -1,6286  14,9894  257,0000
13,566  -0,0840  -1,6913  14,9894  85,0000  0,0420  -1,6286  14,9894  258,0000
13,6  -0,0630  -1,6913  15,0192  84,0000  0,0000  -1,6286  15,0490  257,0000
13,634  -0,0630  -1,6913  15,0490  83,0000  0,0420  -1,6286  15,0788  258,0000
13,668  -0,0630  -1,6913  15,0788  83,0000  0,0630  -1,5973  15,1086  257,0000
13,702  -0,0420  -1,6913  15,1086  82,0000  0,0210  -1,6286  15,1384  259,0000
13,736  -0,0630  -1,7226  15,1384  81,0000  0,0210  -1,5973  15,1682  259,0000
13,77  -0,0630  -1,6913  15,1980  81,0000  0,0000  -1,6286  15,1980  259,0000
13,804  -0,0420  -1,6600  15,1682  79,0000  0,0420  -1,6286  15,1980  259,0000
13,838  -0,0630  -1,6913  15,2278  80,0000  0,0420  -1,5973  15,2576  258,0000
13,872  -0,0420  -1,6913  15,2576  78,0000  0,0210  -1,5973  15,2874  258,0000
13,906  -0,0420  -1,6913  15,2874  76,0000  0,0420  -1,6286  15,3172  259,0000
13,94  -0,0630  -1,6913  15,3172  76,0000  0,0210  -1,6286  15,3172  260,0000
13,974  -0,0420  -1,6913  15,3470  76,0000  0,0000  -1,5973  15,3470  260,0000
14,008  -0,0630  -1,6913  15,3768  75,0000  0,0420  -1,5973  15,4066  260,0000
14,042  -13,0200  -1,6286  15,3768  76,0000  0,0630  -1,5973  15,4364  260,0000
14,076  -27,1950  -2,0671  15,4066  79,0000  0,0210  -1,5973  15,4364  260,0000
14,11  -31,2270  -2,3490  15,4364  84,0000  0,0000  -1,5973  15,4960  260,0000
14,144  -32,7810  -2,5056  15,4662  86,0000  0,0000  -1,6286  15,5258  261,0000
14,178  -33,2430  -2,5682  15,4960  86,0000  0,0210  -1,5973  15,5258  261,0000
14,212  -33,2430  -2,5682  15,5258  85,0000  0,0420  -1,5973  15,5854  262,0000
14,246  -32,9910  -2,5996  15,5258  85,0000  0,0000  -1,5973  15,6152  262,0000
14,28  -32,5920  -2,6309  15,5854  84,0000  0,0630  -1,6286  15,6450  263,0000
14,314  -31,9200  -2,5682  15,6152  82,0000  0,0210  -1,5973  15,6450  263,0000
14,348  -30,5340  -2,5682  15,6152  83,0000  0,0000  -1,5973  15,6748  263,0000
14,382  -27,6990  -2,5996  15,6748  83,0000  0,0210  -1,5973  15,7046  264,0000
14,416  -22,5960  -2,6935  15,6748  87,0000  0,0420  -1,5660  15,7344  263,0000
14,45  -18,8160  -2,8814  15,7046  97,0000  0,0420  -1,5973  15,7642  264,0000
14,484  -17,4300  -3,1320  15,7642  110,0000  0,0000  -1,5973  15,7642  265,0000
14,518  -16,7160  -3,5078  15,7940  126,0000  0,0420  -1,5973  15,8238  265,0000
14,552  -16,0440  -3,7584  15,8238  141,0000  0,0420  -1,5973  15,8238  265,0000
14,586  -14,9520  -4,0716  15,8238  153,0000  0,0210  -1,5660  15,8536  265,0000
14,62  -14,1330  -4,3222  15,8536  162,0000  0,0210  -1,5973  15,8834  266,0000
14,654  -12,4950  -4,6040  15,8834  171,0000  0,0210  -1,5973  15,9132  266,0000
14,688  -13,0200  -4,7606  15,8834  177,0000  0,0210  -1,5660  15,9430  266,0000
14,722  -12,2850  -4,9799  15,9430  183,0000  0,0420  -1,5660  15,9728  267,0000
14,756  -11,6550  -5,1678  16,0026  189,0000  0,0210  -1,5973  16,0026  267,0000
14,79  -11,5080  -5,3557  15,9728  196,0000  0,0420  -1,5973  16,0324  267,0000
14,824  -11,1090  -5,6689  16,0324  209,0000  0,0420  -1,5660  16,0324  268,0000
14,858  -10,3950  -5,9508  16,0622  228,0000  0,0420  -1,5660  16,0920  268,0000
14,892  -9,5970  -6,2640  16,0324  251,0000  0,0210  -1,5660  16,1218  269,0000
14,926  -8,7780  -6,4206  16,0920  275,0000  0,0840  -1,5973  16,1516  269,0000
14,96  -7,9380  -6,5772  16,0920  299,0000  0,0420  -1,5660  16,1516  269,0000
14,994  -6,8670  -6,7025  16,1516  323,0000  0,0000  -1,5660  16,1814  271,0000
15,028  -6,1740  -6,7338  16,1516  347,0000  0,0210  -1,5660  16,2112  272,0000
15,062  -3,2550  -6,7338  16,1814  369,0000  0,0420  -1,5660  16,2410  272,0000
15,096  -2,1000  -6,5459  16,2112  391,0000  0,0000  -1,5660  16,2708  273,0000
15,13  -0,9660  -6,2953  16,2410  409,0000  0,0210  -1,5660  16,3006  273,0000
15,164  0,9870  -6,0448  16,2708  422,0000  0,0210  -1,5973  16,3304  274,0000
15,198  1,6800  -5,6063  16,3006  432,0000  0,0210  -1,5973  16,3602  274,0000
15,232  1,1970  -5,1365  16,3304  436,0000  0,0210  -1,5347  16,3602  275,0000
15,266  -1,1970  -4,5727  16,3304  424,0000  0,0420  -1,5347  16,3900  275,0000
15,3  1,0920  -3,8837  16,3900  386,0000  0,0840  -1,5660  16,4496  275,0000
15,334  4,8510  -3,1007  16,4198  336,0000  0,0420  -1,5660  16,4496  276,0000
15,368  9,4920  -2,3177  16,4198  293,0000  0,0210  -1,5347  16,4794  277,0000
15,402  15,4560  -1,6286  16,4794  262,0000  0,0210  -1,5660  16,5092  278,0000
15,436  18,5850  -1,0022  16,5092  252,0000  0,0210  -1,5660  16,5092  278,0000
15,47  19,6980  -0,3758  16,5092  255,0000  0,0210  -1,5660  16,5688  278,0000
15,504  20,7480  0,3132  16,5390  264,0000  0,0420  -1,5660  16,5688  279,0000
15,538  19,5510  0,9396  16,5688  274,0000  0,0210  -1,5660  16,5986  280,0000
15,572  18,7320  1,6286  16,5688  279,0000  0,0210  -1,5660  16,6284  279,0000
15,606  18,0600  2,3490  16,6284  277,0000  0,0420  -1,5347  16,6582  281,0000
15,64  9,1560  3,0380  16,6582  275,0000  0,0420  -1,5660  16,6880  281,0000
15,674  11,3400  3,5078  16,6582  273,0000  0,0420  -1,5660  16,7178  281,0000
15,708  10,8150  3,8210  16,6582  275,0000  0,0630  -1,5973  16,7476  282,0000
15,742  11,3820  4,1969  16,7178  275,0000  0,0420  -1,5347  16,7476  282,0000
15,776  10,9830  4,5414  16,7476  276,0000  0,0420  -1,5347  16,7774  283,0000
15,81  11,5080  4,8546  16,7774  279,0000  0,0210  -1,5347  16,8072  283,0000
15,844  10,5420  5,1991  16,7774  279,0000  0,0420  -1,5347  16,8370  284,0000
15,878  11,7810  5,5436  16,8072  281,0000  0,0840  -1,5347  16,8668  284,0000
15,912  11,0880  5,8882  16,8072  283,0000  0,0420  -1,5660  16,8966  285,0000
15,946  10,7100  6,2327  16,8668  285,0000  0,0420  -1,5347  16,8966  286,0000
15,98  10,1850  6,5146  16,8966  286,0000  0,0420  -1,5347  16,9562  285,0000
16,014  10,7520  6,8904  16,8966  288,0000  0,0630  -1,5347  16,9562  286,0000
16,048  10,5630  7,1723  16,9264  289,0000  0,0210  -1,5347  16,9562  286,0000
16,082  9,5550  7,5481  16,9562  290,0000  0,0420  -1,5347  16,9860  286,0000
16,116  9,6390  7,8613  16,9860  292,0000  0,0420  -1,5347  17,0456  286,0000
16,15  10,6470  8,1745  17,0158  294,0000  0,0630  -1,5660  17,0456  287,0000
16,184  10,8150  8,5190  17,0456  295,0000  0,0420  -1,5347  17,0754  288,0000
16,218  10,8570  8,8322  17,0754  297,0000  0,0630  -1,5347  17,1052  288,0000
16,252  9,1350  9,0828  17,0456  298,0000  0,0210  -1,5660  17,1350  288,0000
16,286  8,9460  9,4273  17,1052  299,0000  0,0420  -1,5347  17,1350  288,0000
16,32  8,7150  9,7405  17,1052  299,0000  0,0210  -1,5347  17,1648  287,0000
16,354  10,8360  10,0537  17,1648  301,0000  0,0630  -1,5347  17,2244  287,0000
16,388  9,9120  10,3356  17,1946  302,0000  0,0630  -1,5034  17,2244  288,0000
16,422  10,3740  10,5548  17,1946  305,0000  0,0420  -1,5034  17,2542  289,0000
16,456  10,0590  10,8680  17,2542  306,0000  0,0420  -1,5347  17,2542  289,0000
16,49  8,5050  11,1499  17,2244  308,0000  0,0420  -1,5034  17,2840  289,0000
16,524  8,9250  11,4318  17,2542  309,0000  0,0840  -1,5034  17,3138  289,0000
16,558  9,2610  11,7137  17,2840  310,0000  0,0420  -1,5347  17,3138  289,0000
16,592  8,8830  11,9956  17,2840  311,0000  0,0420  -1,5034  17,3734  290,0000
16,626  8,5680  12,3088  17,3436  311,0000  0,0420  -1,5034  17,4032  289,0000
16,66  9,0300  12,5593  17,3734  314,0000  0,0420  -1,5034  17,4032  290,0000
16,694  9,6810  12,8725  17,4032  314,0000  0,0630  -1,5034  17,4330  291,0000
16,728  9,6180  13,1231  17,3734  317,0000  0,0420  -1,5034  17,4926  290,0000
16,762  8,6940  13,3736  17,4330  319,0000  0,0420  -1,5034  17,4628  290,0000
16,796  10,3530  13,5929  17,4330  321,0000  0,0420  -1,5034  17,4926  290,0000
16,83  8,8200  13,8434  17,4628  325,0000  0,0420  -1,4720  17,5224  290,0000
16,864  9,3240  14,0940  17,5224  328,0000  0,0210  -1,5347  17,5522  290,0000
16,898  8,5470  14,3446  17,5522  331,0000  0,0420  -1,5034  17,5522  290,0000
16,932  8,7150  14,5638  17,5522  331,0000  0,0420  -1,5034  17,5820  291,0000
16,966  8,0430  14,8144  17,5820  332,0000  0,0210  -1,5034  17,6118  292,0000
17  8,2740  15,0649  17,5820  333,0000  0,0630  -1,5347  17,6416  291,0000
17,034  8,1060  15,3155  17,5820  334,0000  0,1470  -1,5034  17,6714  291,0000
17,068  8,0850  15,5660  17,6118  335,0000  0,0630  -1,5034  17,6714  292,0000
17,102  9,0510  15,7853  17,6416  337,0000  0,0420  -1,5034  17,7012  292,0000
17,136  8,5260  16,0672  17,7012  339,0000  0,0630  -1,5034  17,7310  292,0000
17,17  8,7360  16,2238  17,7012  341,0000  0,0210  -1,4720  17,7310  292,0000
17,204  10,8780  16,4743  17,7310  344,0000  0,0420  -1,4720  17,7608  292,0000
17,238  11,9280  16,6622  17,7608  348,0000  0,0630  -1,4720  17,7608  292,0000
17,272  8,1270  16,8502  17,7608  355,0000  0,0420  -1,5034  17,8204  292,0000
17,306  8,0640  17,0694  17,7906  359,0000  0,0420  -1,4720  17,8502  293,0000
17,34  8,5470  17,2573  17,7906  360,0000  0,0420  -1,4720  17,8502  293,0000
17,374  8,9460  17,4452  17,8204  362,0000  0,0420  -1,4720  17,8800  293,0000
17,408  7,6440  17,6332  17,8204  364,0000  0,0840  -1,4720  17,9098  293,0000
17,442  8,0010  17,8211  17,8204  364,0000  0,0840  -1,4407  17,9098  293,0000
17,476  7,4340  18,0716  17,8800  366,0000  0,0210  -1,4407  17,9396  293,0000
17,51  7,4130  18,2282  17,8800  366,0000  0,0210  -1,4720  17,9694  293,0000
17,544  7,6020  18,4788  17,9396  366,0000  0,0420  -1,4407  17,9992  293,0000
17,578  7,2660  18,6667  17,9694  368,0000  0,0630  -1,4407  17,9992  294,0000
17,612  7,7700  18,8546  17,9992  368,0000  0,0210  -1,4720  18,0290  294,0000
17,646  7,1820  19,0739  17,9694  369,0000  0,0210  -1,4407  18,0588  294,0000
17,68  7,0560  19,2618  17,9694  370,0000  0,0840  -1,4407  18,0886  296,0000
17,714  7,2030  19,4497  17,9992  371,0000  0,0630  -1,4407  18,0886  296,0000
17,748  6,8670  19,6376  18,0290  372,0000  0,0630  -1,4407  18,1184  296,0000
17,782  7,2450  19,8256  18,0290  374,0000  0,0420  -1,4407  18,1482  297,0000
17,816  7,3080  20,0135  18,0886  375,0000  0,0210  -1,4407  18,1482  297,0000
17,85  7,2030  20,1701  18,1184  376,0000  0,0630  -1,4407  18,1780  298,0000
17,884  7,0980  20,3893  18,1482  378,0000  0,0630  -1,4094  18,2078  297,0000
17,918  6,3210  20,5146  18,1780  379,0000  0,0630  -1,4407  18,2376  298,0000
17,952  6,2370  20,7025  18,1780  381,0000  0,0420  -1,4094  18,2674  298,0000
17,986  7,2030  20,8904  18,2078  383,0000  0,0420  -1,4094  18,2376  297,0000
18,02  7,2870  21,0470  18,2376  384,0000  0,0630  -1,4094  18,2674  299,0000
18,054  7,5180  21,1723  18,2376  387,0000  0,0420  -1,4094  18,2972  299,0000
18,088  7,3920  21,3289  18,2376  387,0000  0,0420  -1,4094  18,3270  299,0000
18,122  7,4970  21,4855  18,2674  389,0000  0,0210  -1,3781  18,3270  299,0000
18,156  7,6020  21,6421  18,2972  390,0000  0,0210  -1,4094  18,3568  299,0000
18,19  6,7410  21,7987  18,2972  392,0000  0,0630  -1,4094  18,3866  299,0000
18,224  7,7070  21,8614  18,3270  394,0000  0,0420  -1,3781  18,4164  300,0000
18,258  6,9510  22,0806  18,3568  392,0000  0,0420  -1,3781  18,4164  300,0000
18,292  7,7910  22,1746  18,4164  396,0000  0,0630  -1,3781  18,4164  300,0000
18,326  7,2870  22,3312  18,4164  398,0000  0,0420  -1,3468  18,4462  301,0000
18,36  6,5310  22,4251  18,4164  402,0000  0,0420  -1,3468  18,4760  301,0000
18,394  7,1610  22,5817  18,4462  403,0000  0,0210  -1,3468  18,4760  301,0000
18,428  6,5940  22,7070  18,4760  403,0000  0,0210  -1,3468  18,5058  301,0000
18,462  5,8590  22,8010  18,4760  403,0000  0,0630  -1,3468  18,5356  301,0000
18,496  5,8800  22,9889  18,5058  404,0000  0,0420  -1,3154  18,5654  302,0000
18,53  6,1950  23,0828  18,5058  406,0000  0,0630  -1,3468  18,5952  301,0000
18,564  6,4050  23,2394  18,5058  409,0000  0,0630  -1,3154  18,5952  302,0000
18,598  6,3210  23,3647  18,5356  409,0000  0,0420  -1,3468  18,5952  302,0000
18,632  6,4470  23,4900  18,5654  412,0000  0,0420  -1,3468  18,6250  302,0000
18,666  7,3290  23,6466  18,5952  413,0000  0,0630  -1,3154  18,6548  302,0000
18,7  6,3420  23,7406  18,5952  416,0000  0,0420  -1,3154  18,6548  302,0000
18,734  6,3000  23,8658  18,5952  418,0000  0,0840  -1,3468  18,7144  302,0000
18,768  6,4680  23,9598  18,6250  420,0000  0,0420  -1,3154  18,7144  303,0000
18,802  5,8590  24,0851  18,7144  422,0000  0,0420  -1,3154  18,7442  303,0000
18,836  5,9010  24,2730  18,7144  424,0000  0,0420  -1,3468  18,7442  303,0000
18,87  6,1110  24,3356  18,7442  426,0000  0,0630  -1,3154  18,7442  304,0000
18,904  6,2160  24,4296  18,7442  427,0000  0,0630  -1,3154  18,7740  304,0000
18,938  5,6280  24,5862  18,7740  429,0000  0,0630  -1,3154  18,8038  304,0000
18,972  5,4600  24,7115  18,7740  431,0000  0,0420  -1,3154  18,8038  304,0000
19,006  5,5020  24,7741  18,8038  433,0000  0,0210  -1,3154  18,8336  305,0000
19,04  5,8170  24,8994  18,8336  436,0000  0,0420  -1,2841  18,8336  305,0000
19,074  5,5860  24,9934  18,8336  437,0000  0,0420  -1,3154  18,8634  305,0000
19,108  5,7540  25,1500  18,8336  440,0000  0,0840  -1,2841  18,8932  305,0000
19,142  5,2500  25,1813  18,8634  441,0000  0,0630  -1,3154  18,9230  306,0000
19,176  5,5650  25,3379  18,8634  443,0000  0,0420  -1,3468  18,9230  307,0000
19,21  5,4180  25,4632  18,8932  445,0000  0,0630  -1,3154  18,9528  306,0000
19,244  5,5440  25,5258  18,8932  448,0000  0,0420  -1,2841  18,9528  307,0000
19,278  5,6070  25,6198  18,9230  452,0000  0,0420  -1,2841  18,9826  308,0000
19,312  5,5860  25,7450  18,9528  453,0000  0,0630  -1,3154  18,9826  308,0000
19,346  5,5650  25,8390  18,9528  455,0000  0,0420  -1,2841  19,0124  309,0000
19,38  5,4810  25,9330  19,0124  457,0000  0,0210  -1,2841  19,0422  309,0000
19,414  5,1870  25,9643  19,0124  459,0000  0,0630  -1,2841  19,0422  309,0000
19,448  4,9980  26,0896  19,0422  462,0000  0,0840  -1,2841  19,0720  307,0000
19,482  5,2500  26,1835  19,0422  464,0000  0,0210  -1,2841  19,1018  308,0000
19,516  5,6910  26,3088  19,0720  464,0000  0,0840  -1,2841  19,1018  308,0000
19,55  5,2710  26,3401  19,0720  465,0000  0,0630  -1,2841  19,1316  308,0000
19,584  5,2290  26,4341  19,1018  468,0000  0,0630  -1,2841  19,1614  310,0000
19,618  4,8510  26,4967  19,1316  470,0000  0,0630  -1,2841  19,1614  310,0000
19,652  5,2500  26,6220  19,1316  472,0000  0,0420  -1,2841  19,2210  309,0000
19,686  5,4810  26,7160  19,1614  475,0000  0,0420  -1,2841  19,1912  310,0000
19,72  4,6830  26,8099  19,1912  478,0000  0,0630  -1,2841  19,2210  310,0000
19,754  4,6410  26,9039  19,1912  481,0000  0,0630  -1,2841  19,2508  311,0000
19,788  4,2420  26,9665  19,2210  485,0000  0,0210  -1,2841  19,2210  311,0000
19,822  4,4730  26,9978  19,1912  488,0000  0,0210  -1,2528  19,2508  312,0000
19,856  4,5360  26,9978  19,2210  497,0000  0,0420  -1,2528  19,2806  312,0000
19,89  4,9140  26,9978  19,2508  506,0000  0,0840  -1,2528  19,2806  313,0000
19,924  4,8720  27,0292  19,2806  515,0000  0,0420  -1,2528  19,3104  313,0000
19,958  4,7670  27,0605  19,3104  524,0000  0,0000  -1,2528  19,3104  313,0000
19,992  5,1870  27,1231  19,2806  533,0000  0,0420  -1,2528  19,3402  314,0000
20,026  5,3130  27,2171  19,3104  541,0000  0,0210  -1,2528  19,3402  315,0000
20,06  5,0820  27,3110  19,3104  546,0000  0,0420  -1,2528  19,3700  314,0000
20,094  4,9980  27,3737  19,3402  551,0000  0,0210  -1,2528  19,3700  315,0000
20,128  5,4810  27,4676  19,3700  553,0000  0,0420  -1,2528  19,3998  316,0000
20,162  4,9980  27,5616  19,3700  556,0000  0,0210  -1,2528  19,4594  317,0000
20,196  5,3970  27,6869  19,3998  556,0000  0,0210  -1,2528  19,4296  317,0000
20,23  5,1870  27,7495  19,4296  556,0000  0,0420  -1,2528  19,4594  317,0000
20,264  5,2290  27,8435  19,4296  557,0000  0,0420  -1,2528  19,4594  318,0000
